"","gene","term","estimate","statistic","p.value","lod","fdr"
"91","204492_at","sensitive",-0.780634103589963,-8.37861682781688,1.35391778330431e-05,3.65355326735438,0.00813466536287506
"92","232278_s_at","sensitive",-1.29230163127907,-8.35502504731434,1.38560844497843e-05,3.63270797305891,0.00823458062273865
"93","204026_s_at","sensitive",-0.927525932375181,-8.3327395660698,1.41629258863969e-05,3.61295831872025,0.00832642981547046
"94","218663_at","sensitive",-1.47451049860067,-8.29375652099859,1.47177389048342e-05,3.57827366679557,0.00855003083349252
"95","224715_at","sensitive",-0.636683522223242,-8.28429095873385,1.48560206526162e-05,3.56982533123802,0.00855003083349252
"96","1555947_at","sensitive",0.639890037424481,8.27236563050658,1.50322680495916e-05,3.55916680081493,0.00856134641261898
"97","231772_x_at","sensitive",-1.00159406146271,-8.24873781015916,1.53882773808299e-05,3.53800015932892,0.00857931511000452
"98","213599_at","sensitive",-0.953564009877136,-8.24562471042969,1.5435868599241e-05,3.53520649429908,0.00857931511000452
"99","204318_s_at","sensitive",-1.13886541494935,-8.23920221885784,1.55345623391028e-05,3.52943944759017,0.00857931511000452
"100","206308_at","sensitive",-0.672147653409235,-8.20209670312967,1.61184726122196e-05,3.49602646282347,0.00881277490073106
"101","203270_at","sensitive",-0.731533969415688,-8.14740232623498,1.70234944059447e-05,3.44648055419534,0.00921544115490123
"102","213344_s_at","sensitive",-0.602300337297426,-8.1342498860196,1.72493371304987e-05,3.43451358601852,0.0092461520353923
"103","218564_at","sensitive",-0.711295849582762,-8.09745629801659,1.78987505878479e-05,3.4009274800443,0.00950110862515129
"104","202095_s_at","sensitive",-1.20706082639254,-8.07240694132156,1.83561840049323e-05,3.37796971990743,0.00961943821929106
"105","203744_at","sensitive",-0.661657126310166,-8.06549236686575,1.84846975171538e-05,3.37161932486589,0.00961943821929106
"106","218009_s_at","sensitive",-1.15553145314175,-8.05159822430664,1.87459228289862e-05,3.35884156423813,0.00961943821929106
"107","219148_at","sensitive",-1.47686567769397,-8.03587164663674,1.90464889900383e-05,3.34435071284991,0.00961943821929106
"108","236957_at","sensitive",-0.885203671035219,-8.03499377827365,1.90634216606784e-05,3.3435409495862,0.00961943821929106
"109","202779_s_at","sensitive",-1.06748665646653,-8.02911199863166,1.91772979588976e-05,3.33811309244799,0.00961943821929106
"110","204170_s_at","sensitive",-0.962293739123971,-8.01310406726664,1.94910161517674e-05,3.32331950730106,0.00964258180173607
"111","203022_at","sensitive",-0.965390840978364,-8.00880810686585,1.95761605851432e-05,3.31934418659832,0.00964258180173607
"112","223700_at","sensitive",-0.985269564131687,-7.98424692250073,2.00708444995958e-05,3.29657345471272,0.00978080873898507
"113","203209_at","sensitive",-0.691833166543385,-7.9760645324909,2.02386722650768e-05,3.28897135981402,0.00978080873898507
"114","204962_s_at","sensitive",-1.38890248503392,-7.96131511200096,2.05450907579018e-05,3.27524749369142,0.00978080873898507
"115","222036_s_at","sensitive",-0.873097506315994,-7.96001487707599,2.05723457701561e-05,3.27403640179359,0.00978080873898507
"116","201853_s_at","sensitive",-0.698487097910998,-7.93491307334976,2.11063566310292e-05,3.25061531388835,0.00990770445435178
"117","221058_s_at","sensitive",-0.651070303697788,-7.91626648274068,2.15128642368016e-05,3.23316758345083,0.00990770445435178
"118","218611_at","sensitive",-0.733959982131695,-7.91375226506842,2.15683285563575e-05,3.23081176979004,0.00990770445435178
"119","209849_s_at","sensitive",-0.72083109790626,-7.90687530064482,2.17208376744491e-05,3.22436413298986,0.00990770445435178
"120","223542_at","sensitive",-0.686541904408442,-7.90094838912781,2.18532252310007e-05,3.21880259994858,0.00990770445435178
"121","209773_s_at","sensitive",-1.35505597750513,-7.8976841061162,2.19265155734168e-05,3.21573771651218,0.00990770445435178
"122","206457_s_at","sensitive",0.94923790836177,7.86488388224572,2.26780764159443e-05,3.18486861526406,0.0100434716074962
"123","203817_at","sensitive",-0.932056172229906,-7.86064998181577,2.27771267408078e-05,3.1808743602953,0.0100434716074962
"124","218355_at","sensitive",-1.19121527784892,-7.86061014753401,2.27780608930869e-05,3.18083677022669,0.0100434716074962
"125","231855_at","sensitive",-0.75991345940795,-7.81896620740539,2.3777986741568e-05,3.14143200573422,0.0104004914007618
"126","227350_at","sensitive",-0.791732448927354,-7.7708990458988,2.49922856233284e-05,3.09568248834568,0.0107993239368482
"127","203046_s_at","sensitive",-0.637030790886782,-7.76734033731898,2.50848493823452e-05,3.0922839478141,0.0107993239368482
"128","222583_s_at","sensitive",-0.664646179256521,-7.75581227724994,2.53872855045804e-05,3.08126389101038,0.0108441393356479
"129","201088_at","sensitive",-0.761382643102306,-7.7461739200324,2.56432096014613e-05,3.07203752920109,0.0108685463950379
"130","208808_s_at","sensitive",-1.36184050658378,-7.71969160398128,2.63610366200822e-05,3.04662736572718,0.0110868436707923
"131","203976_s_at","sensitive",-0.716970367172482,-7.69693307041071,2.69955133555137e-05,3.02471992198941,0.0112670205550589
"132","202870_s_at","sensitive",-1.52194763818369,-7.6887240088436,2.72284556274559e-05,3.0168018600207,0.0112781500865996
"133","229610_at","sensitive",-0.852199229848245,-7.67049105016202,2.77537444136421e-05,2.99918483825911,0.0114092930512472
"134","221258_s_at","sensitive",-0.75513081241203,-7.65534411355137,2.8198560652169e-05,2.98451765010007,0.0115056440571443
"135","236641_at","sensitive",-1.33790426866949,-7.6442237238572,2.85300942921482e-05,2.97373098648812,0.01155468818832
"136","1568596_a_at","sensitive",-0.585450171885017,-7.60603717682195,2.97014221935152e-05,2.93657089033654,0.0118573267654704
"137","223381_at","sensitive",-1.5644396946555,-7.60572893619017,2.97110885572829e-05,2.93627018013436,0.0118573267654704
"138","205046_at","sensitive",-1.00651535896952,-7.59316946506635,3.01078926019643e-05,2.92400723329793,0.0119286161450174
"139","218115_at","sensitive",-0.759492533291945,-7.53870727854374,3.18969144730748e-05,2.87059733719777,0.0125465021497508
"140","209408_at","sensitive",-1.17352530680907,-7.49906189497744,3.3272274926501e-05,2.83147808030809,0.0129212054863868
"141","208886_at","sensitive",-0.649360037360079,-7.48870255512035,3.36422521379329e-05,2.82122275195448,0.0129212054863868
"142","221520_s_at","sensitive",-0.906795169569062,-7.48652261050431,3.37206789371107e-05,2.81906292464004,0.0129212054863868
"143","235588_at","sensitive",-0.70740473317288,-7.48446657848789,3.3794830993202e-05,2.81702530205295,0.0129212054863868
"144","221730_at","sensitive",0.777352487074638,7.45568074464003,3.48519473276338e-05,2.78843959610369,0.0131929371913942
"145","201896_s_at","sensitive",-0.978928142549162,-7.45204201139285,3.49881278967016e-05,2.78481849155129,0.0131929371913942
"146","211080_s_at","sensitive",-1.47911751701435,-7.43908615950362,3.54777473034557e-05,2.77191140388273,0.0132859303686058
"147","202954_at","sensitive",-1.03817145455146,-7.42372532582278,3.60679811035161e-05,2.75658001459113,0.0133534003161894
"148","241024_at","sensitive",-0.619867105167025,-7.42078723156102,3.61820944604263e-05,2.75364404035595,0.0133534003161894
"149","217540_at","sensitive",-0.93943086123485,-7.41348366220345,3.64674730015612e-05,2.74634084937243,0.0133534003161894
"150","201663_s_at","sensitive",-0.959549003223972,-7.40922923612734,3.66348431171178e-05,2.74208342593035,0.0133534003161894
"151","218782_s_at","sensitive",-0.896067219918815,-7.39747744999159,3.71015395926826e-05,2.73031103831937,0.0133712164330182
"152","212871_at","sensitive",-0.603952017153126,-7.38927922499998,3.74309605884026e-05,2.72208771572279,0.0133712164330182
"153","1552619_a_at","sensitive",-1.20227699129368,-7.38548269566826,3.75845945013581e-05,2.71827657435367,0.0133712164330182
"154","213134_x_at","sensitive",-0.652683368208311,-7.37572688008891,3.79825525354012e-05,2.70847452249645,0.0133712164330182
"155","202240_at","sensitive",-0.871893108281578,-7.37109031482235,3.81732991632081e-05,2.70381159419357,0.0133712164330182
"156","235919_at","sensitive",-0.709183523692245,-7.3560123905423,3.88008728257999e-05,2.68862836303578,0.0133712164330182
"157","229490_s_at","sensitive",-1.06311810803459,-7.35424139813921,3.88753219352327e-05,2.68684303477701,0.0133712164330182
"158","213008_at","sensitive",-0.935963271952417,-7.35338108114645,3.89115443270186e-05,2.68597560433749,0.0133712164330182
"159","228273_at","sensitive",-1.20362730582159,-7.35064450751574,3.90270092268824e-05,2.6832157541079,0.0133712164330182
"160","1555758_a_at","sensitive",-0.931123015707145,-7.3482274821266,3.91293027760936e-05,2.68077734795104,0.0133712164330182
"161","1553956_at","sensitive",-0.599196439336485,-7.33947953348574,3.95019906025997e-05,2.67194556520295,0.0134147287962555
"162","220295_x_at","sensitive",-0.93880056543597,-7.32177504699166,4.02681775329632e-05,2.65404044109459,0.0135230861434063
"163","218443_s_at","sensitive",-0.665657628189917,-7.31780616242356,4.04421555884551e-05,2.65002088262532,0.0135230861434063
"164","209714_s_at","sensitive",-0.985855929655077,-7.31505865341602,4.05630750346343e-05,2.6472370706772,0.0135230861434063
"165","223254_s_at","sensitive",-0.859140176333005,-7.29822583382213,4.13125753720992e-05,2.63015996610556,0.0136894852028456
"166","203362_s_at","sensitive",-1.15635633251883,-7.28462352407839,4.19292903525058e-05,2.61633274034498,0.0138101442772485
"167","226319_s_at","sensitive",-0.678794708821852,-7.26779361103486,4.27063008065978e-05,2.59919043205119,0.0138800864750624
"168","218361_at","sensitive",0.642580286998021,7.26144189332605,4.30036265191039e-05,2.59271099202938,0.0138800864750624
"169","214960_at","sensitive",-0.661718874853455,-7.25888326892928,4.3124034718514e-05,2.59009939545528,0.0138800864750624
"170","203554_x_at","sensitive",-1.07373441705602,-7.25377021928473,4.33657583200956e-05,2.58487786710952,0.0138800864750624
"171","229442_at","sensitive",-0.679393427027635,-7.25281733635328,4.34109700454627e-05,2.58390438136072,0.0138800864750624
"172","201565_s_at","sensitive",-0.709546170322692,-7.24199014050766,4.39283233686517e-05,2.57283455170832,0.0139251772024932
"173","204240_s_at","sensitive",-1.07908320575524,-7.23922814690319,4.40613745959088e-05,2.57000815012856,0.0139251772024932
"174","213226_at","sensitive",-1.31825535328251,-7.21823227911591,4.50873000464446e-05,2.54848922792634,0.014167517988732
"175","211519_s_at","sensitive",-0.957649496662257,-7.20564309181477,4.57149408504695e-05,2.53555802244747,0.0142256027970326
"176","228401_at","sensitive",-0.795257796963508,-7.20410011104446,4.57925211207634e-05,2.53397165597994,0.0142256027970326
"177","242787_at","sensitive",-0.806912494020243,-7.19475675209577,4.62653826903216e-05,2.5243587313395,0.0142584977767736
"178","235113_at","sensitive",-0.624675419280454,-7.18750392754644,4.6636120012846e-05,2.51688854470079,0.0142584977767736
"179","219918_s_at","sensitive",-1.42110427929818,-7.18663467864274,4.66807700419292e-05,2.51599276893883,0.0142584977767736
"180","1558233_s_at","sensitive",-0.741647773583439,-7.13838816331286,4.92337479379562e-05,2.4661137305146,0.0147262187499533
"181","203302_at","sensitive",-0.749971143393125,-7.13700140238324,4.93093477156574e-05,2.46467538259771,0.0147262187499533
"182","202705_at","sensitive",-1.27976550840503,-7.1366039151746,4.93310402395439e-05,2.46426306086191,0.0147262187499533
"183","223785_at","sensitive",-0.670725504806641,-7.1271162893623,4.98519241098659e-05,2.45441497890041,0.0147262187499533
"184","38158_at","sensitive",-0.659523953509194,-7.12498175360383,4.99699386784871e-05,2.45219766132538,0.0147262187499533
"185","202094_at","sensitive",-0.753468686385712,-7.12268208500293,5.00974245540248e-05,2.44980811325496,0.0147262187499533
"186","222680_s_at","sensitive",-0.936893980017953,-7.11691723333501,5.04185720016211e-05,2.44381478711505,0.014741365904752
"187","222958_s_at","sensitive",-1.31386791498835,-7.11129115829404,5.07341566521997e-05,2.43796137500774,0.0147547341221225
"188","223556_at","sensitive",-0.929241147148674,-7.10377479021032,5.11591436143117e-05,2.43013455722935,0.0147996094027116
"189","214169_at","sensitive",-0.663894429513122,-7.09507436808767,5.16559378650304e-05,2.42106515849877,0.0148443269204854
"190","205339_at","sensitive",-0.728821532120423,-7.07740004755354,5.26814353449447e-05,2.40260945119265,0.0149241320076935
"191","214536_at","sensitive",0.609871458964488,7.05407222671162,5.40691275588701e-05,2.37818483827559,0.0151726243877328
"192","205548_s_at","sensitive",-0.654064431974093,-7.05333526039263,5.41136123567973e-05,2.37741200643475,0.0151726243877328
"193","218662_s_at","sensitive",-1.28149532361966,-7.03647052917458,5.51425967991232e-05,2.35970614050063,0.0153822524489391
"194","228252_at","sensitive",-0.814521583941811,-7.01599195891813,5.64208790216365e-05,2.33815358408125,0.0156589419315126
"195","217957_at","sensitive",-0.64144595168334,-7.00260469372574,5.72739792681212e-05,2.32403297497863,0.0157377165009795
"196","200853_at","sensitive",-0.820995032599727,-7.00165280186578,5.73351721249884e-05,2.32302799680491,0.0157377165009795
"197","211713_x_at","sensitive",-0.61094588462738,-6.98613445494235,5.83429046968745e-05,2.3066265333154,0.0158083262802622
"198","220658_s_at","sensitive",-0.623434285352302,-6.98519101181755,5.84047902809871e-05,2.30562832634688,0.0158083262802622
"199","204315_s_at","sensitive",-1.07526088337493,-6.97425014862447,5.91277162226623e-05,2.29404337519071,0.0158470974729121
"200","206632_s_at","sensitive",-0.787288329606096,-6.96543610004703,5.97172131078329e-05,2.28469837331574,0.0159270176910769
"201","224753_at","sensitive",-0.859093994861617,-6.94826887922551,6.08838743592467e-05,2.26646604034238,0.0161593486921933
"202","1552921_a_at","sensitive",-0.736107763028053,-6.92792570753152,6.22986613382028e-05,2.24480762455634,0.0163383108167864
"203","204510_at","sensitive",-0.588258655462629,-6.92514661891625,6.24947041764669e-05,2.24184438209479,0.0163383108167864
"204","204126_s_at","sensitive",-0.742794543575546,-6.92303931757537,6.26438062831283e-05,2.23959672399324,0.0163383108167864
"205","209258_s_at","sensitive",-0.732870184357775,-6.91775348763976,6.30195152901217e-05,2.23395610425643,0.0163383108167864
"206","218802_at","sensitive",-0.631572185181766,-6.91552668575366,6.31785282977172e-05,2.23157866941332,0.0163383108167864
"207","1553984_s_at","sensitive",-0.608159291555688,-6.90570065086222,6.38854376555782e-05,2.22107967391115,0.0163383108167864
"208","201555_at","sensitive",-0.990405181364034,-6.905132848027,6.3926549642502e-05,2.22047257113671,0.0163383108167864
"209","235709_at","sensitive",-0.844943375046053,-6.90482624805965,6.39487611301745e-05,2.22014473139236,0.0163383108167864
"210","204146_at","sensitive",-1.20254290408677,-6.83795821765736,6.90001906126719e-05,2.14832939217814,0.017546908938362
"211","223229_at","sensitive",-0.632530176470688,-6.82114604366316,7.03376172459821e-05,2.13017434622213,0.0177806596280896
"212","201518_at","sensitive",-0.722980312474333,-6.8121130777614,7.10678509948796e-05,2.12040338083064,0.0177806596280896
"213","211814_s_at","sensitive",-1.02578249141509,-6.81024127918003,7.12202004307569e-05,2.11837721152053,0.0177806596280896
"214","1053_at","sensitive",-0.636169098046162,-6.78874754806142,7.29953677341635e-05,2.09507528894709,0.0180589218591194
"215","205034_at","sensitive",-0.849289717979204,-6.76811647791238,7.47447386976846e-05,2.07264694796881,0.0183258681089503
"216","222608_s_at","sensitive",-1.44886061529982,-6.75216436514684,7.61286938285672e-05,2.05526367487675,0.0185277649163648
"217","225834_at","sensitive",-1.61578914049847,-6.75082740825091,7.62459461578797e-05,2.05380512541447,0.0185277649163648
"218","226147_s_at","sensitive",0.859310769187686,6.74445737653413,7.68073131317893e-05,2.0468522572909,0.0185815922366397
"219","219543_at","sensitive",0.606067592488687,6.71608767547981,7.93627159710306e-05,2.0158164711962,0.0190555231401135
"220","233110_s_at","sensitive",-0.59218512551444,-6.71499078471143,7.94633612427231e-05,2.01461418793133,0.0190555231401135
"221","219105_x_at","sensitive",-0.777937626660372,-6.71060584280948,7.98670933640172e-05,2.00980620723445,0.0190687044964089
"222","235549_at","sensitive",-0.665247237934155,-6.70601487500161,8.02921912434822e-05,2.00476937326586,0.0190868502445104
"223","211935_at","sensitive",-0.589309401303917,-6.67161859660813,8.35566338646216e-05,1.96693639719253,0.0196916334333974
"224","204768_s_at","sensitive",-0.901259096040181,-6.66613111621638,8.4090679366702e-05,1.96088490904716,0.0197324373149117
"225","237215_s_at","sensitive",-0.612967864574653,-6.65853987001027,8.48356043246943e-05,1.95250628057288,0.0198221652412507
"226","202533_s_at","sensitive",-0.976133614335306,-6.62228167023277,8.84941582475816e-05,1.91237261142485,0.0205017716194344
"227","200934_at","sensitive",-0.713370267937128,-6.60850468538088,8.99290537733744e-05,1.89707323524695,0.0205752678434707
"228","218073_s_at","sensitive",-0.879658745289094,-6.60712512772719,9.00741267308885e-05,1.89553971842364,0.0205752678434707
"229","222685_at","sensitive",-0.595025808039386,-6.60550089915605,9.02452558188074e-05,1.8937338716807,0.0205752678434707
"230","223519_at","sensitive",-0.902402672436954,-6.60482402049323,9.03166764048097e-05,1.89298119281058,0.0205752678434707
"231","226907_at","sensitive",-0.653986538493271,-6.59411592838638,9.1454764441413e-05,1.88106511363571,0.0207480881569886
"232","215942_s_at","sensitive",-0.807794701285481,-6.57892042490553,9.30966792663585e-05,1.86412681723723,0.0210333096648271
